"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.225803583E0,-2.159972787E-1,3.571182191E-1,-1.298068762E-1
1.235811583E0,-2.001016736E-1,2.805451453E-1,-1.241700202E-1
1.245819583E0,-1.820965707E-1,1.813227087E-1,-1.240863279E-1
1.255827583E0,-1.563504636E-1,6.162320822E-2,-1.182553396E-1
1.265835583E0,-1.235830560E-1,-6.204799563E-2,-9.655525535E-2
1.275843583E0,-9.334766120E-2,-1.711523682E-1,-6.192057952E-2
1.285851583E0,-6.375307590E-2,-2.552433312E-1,-2.406288683E-2
1.295859583E0,-4.357350618E-2,-2.986699045E-1,4.908311181E-3
1.305867583E0,-4.453760013E-2,-3.075915277E-1,1.995390281E-2
1.315875583E0,-6.329451501E-2,-3.033086061E-1,2.085964382E-2
1.325883583E0,-9.548171610E-2,-3.139569759E-1,-5.470760632E-3
1.335891583E0,-1.244736835E-1,-3.020633161E-1,-2.019324899E-2
1.345899583E0,-1.503712088E-1,-2.892001569E-1,-1.286118478E-2
1.355907583E0,-1.670963913E-1,-2.613179088E-1,-3.397108987E-3
1.365915583E0,-1.806414425E-1,-2.077811062E-1,1.124808751E-2
1.375923583E0,-1.926461756E-1,-1.547722220E-1,3.850474209E-2
1.385931583E0,-1.831639707E-1,-8.672495186E-2,5.511304736E-2
1.395939583E0,-1.483679116E-1,-1.474903524E-2,6.348575652E-2
1.405947583E0,-9.629875422E-2,6.247177720E-2,7.796838135E-2
1.415954583E0,-3.002172895E-2,1.316971928E-1,9.778362513E-2
1.425962583E0,4.480681568E-2,2.055499554E-1,1.295060515E-1
1.435970583E0,1.206107587E-1,2.653301954E-1,1.707613468E-1
1.445978583E0,1.869950444E-1,2.974020541E-1,2.063309103E-1
1.455986583E0,2.522126734E-1,2.907806337E-1,2.411940992E-1
1.465994583E0,3.031751215E-1,2.413512766E-1,2.533107102E-1
1.476002583E0,3.274072409E-1,1.403753906E-1,2.332624197E-1
1.486010583E0,3.362043500E-1,4.225958884E-2,1.764529794E-1
1.496018583E0,3.295744061E-1,-1.696885005E-2,9.842716157E-2
1.506026583E0,3.330005705E-1,4.251820035E-3,1.543780696E-2
1.516034458E0,3.266731799E-1,1.107449681E-1,-4.704101756E-2
1.526042458E0,2.929723561E-1,2.497732788E-1,-7.699966431E-2
1.536050458E0,2.271568626E-1,4.215591550E-1,-8.321841061E-2
1.546058458E0,1.323984116E-1,5.557609797E-1,-7.960236073E-2
1.556066458E0,3.340072930E-2,6.392220259E-1,-7.012683898E-2
1.566074458E0,-5.180641636E-2,6.418006420E-1,-6.998400390E-2
1.576082458E0,-1.023191288E-1,5.826084614E-1,-7.483787835E-2
1.586090458E0,-1.141474023E-1,4.865614176E-1,-6.652474403E-2
1.596098458E0,-1.247172207E-1,3.549762070E-1,-5.849451199E-2
1.606106458E0,-1.437556893E-1,1.993599087E-1,-5.348478258E-2
1.616114458E0,-1.756779253E-1,2.949285135E-2,-5.724649504E-2
1.626122458E0,-2.166784555E-1,-1.465680003E-1,-7.989606261E-2
1.636129458E0,-2.624800205E-1,-2.486621439E-1,-9.893366694E-2
1.646137458E0,-2.946020067E-1,-2.392779887E-1,-1.140798256E-1
1.656145458E0,-2.929841280E-1,-1.277719587E-1,-1.097665727E-1
1.666153458E0,-2.565105259E-1,3.058228642E-2,-6.427585334E-2
1.676161458E0,-1.854312867E-1,1.966439635E-1,4.115456715E-3
1.686169458E0,-7.731845230E-2,3.157532513E-1,7.948426902E-2
1.696177458E0,8.496153355E-2,3.340571523E-1,1.320018172E-1
1.706185458E0,2.712364793E-1,3.045631349E-1,1.772022694E-1
1.716193458E0,4.285528660E-1,2.372258902E-1,2.117144465E-1
1.726201458E0,5.413732529E-1,1.649696082E-1,2.371555269E-1
1.736209458E0,6.010149717E-1,1.170795783E-1,2.676686943E-1
1.746217458E0,5.983988047E-1,6.795871258E-2,2.955146134E-1
1.756225458E0,5.534065366E-1,2.908215299E-2,3.250069916E-1
