"Time (s)","X (µT)","Y (µT)","Z (µT)"
3.533253992E1,-4.429368591E1,-1.768066406E0,-2.243621826E1
3.534254792E1,-4.425852966E1,-1.819824219E0,-2.247009277E1
3.535255592E1,-4.435488892E1,-1.663009644E0,-2.274554443E1
3.536256292E1,-4.426890564E1,-1.629074097E0,-2.259558105E1
3.537257092E1,-4.408221436E1,-1.720596313E0,-2.309509277E1
3.538257892E1,-4.406146240E1,-1.663986206E0,-2.325286865E1
3.539258692E1,-4.394309998E1,-1.793960571E0,-2.328942871E1
3.540259392E1,-4.394309998E1,-1.793960571E0,-2.328942871E1
3.541260192E1,-4.378031921E1,-1.580581665E0,-2.354064941E1
3.542260992E1,-4.383212280E1,-1.683471680E0,-2.340087891E1
3.543261792E1,-4.379447937E1,-1.649551392E0,-2.311914062E1
3.544262492E1,-4.364474487E1,-1.595260620E0,-2.357257080E1
3.545263292E1,-4.350411987E1,-1.668914795E0,-2.316918945E1
3.546264092E1,-4.340457153E1,-1.539184570E0,-2.364532471E1
3.547264892E1,-4.333375549E1,-1.450775146E0,-2.319036865E1
3.548265592E1,-4.326538086E1,-1.350814819E0,-2.299957275E1
3.549266392E1,-4.278797913E1,-3.858489990E-1,-2.263787842E1
3.550267192E1,-4.278201294E1,-4.425811768E-1,-2.242211914E1
3.551267992E1,-4.257656860E1,-3.874206543E-1,-2.302642822E1
3.552268692E1,-4.259480286E1,-3.843383789E-1,-2.344030762E1
3.553269492E1,-4.240699768E1,-3.311462402E-1,-2.299279785E1
3.554270292E1,-4.245150757E1,-1.742553711E-1,-2.331658936E1
3.555271054E1,-4.221855164E1,-2.893066406E-2,-2.297851562E1
3.556271754E1,-4.207273865E1,1.533813477E-1,-2.296142578E1
3.557272554E1,-4.190203857E1,3.737030029E-1,-2.347515869E1
3.558273354E1,-4.171130371E1,4.626312256E-1,-2.308142090E1
3.559274054E1,-4.150105286E1,6.744384766E-1,-2.393280029E1
3.560274854E1,-4.130958557E1,7.878723145E-1,-2.383160400E1
3.561275654E1,-4.059776306E1,1.490066528E0,-2.472930908E1
3.562276454E1,-4.050222778E1,1.679397583E0,-2.517095947E1
3.563277154E1,-4.049093628E1,1.677978516E0,-2.495147705E1
3.564277954E1,-4.054064941E1,1.752593994E0,-2.535498047E1
3.565278754E1,-4.047778320E1,1.633682251E0,-2.565093994E1
3.566279554E1,-4.052716064E1,1.671325684E0,-2.521734619E1
3.567280254E1,-4.056869507E1,1.686172485E0,-2.525781250E1
3.568281054E1,-4.028561401E1,1.183303833E0,-2.486102295E1
3.569281854E1,-4.041673279E1,1.122222900E0,-2.480615234E1
3.570282654E1,-4.058329773E1,1.282455444E0,-2.509265137E1
3.571283354E1,-4.071049500E1,1.239791870E0,-2.433868408E1
3.572284154E1,-4.091030884E1,1.486968994E0,-2.482556152E1
3.573284954E1,-4.100849915E1,1.654876709E0,-2.452484131E1
3.574285754E1,-4.062396240E1,1.587234497E0,-2.423333740E1
3.575286454E1,-4.059541321E1,1.727752686E0,-2.456488037E1
3.576287254E1,-4.064442444E1,1.721054077E0,-2.420764160E1
3.577288054E1,-4.063619995E1,1.911849976E0,-2.475170898E1
3.578288854E1,-4.082469177E1,2.089477539E0,-2.469219971E1
3.579289554E1,-4.062358093E1,2.247039795E0,-2.406372070E1
3.580290354E1,-4.058534241E1,2.260314941E0,-2.480859375E1
3.581291154E1,-4.058534241E1,2.260314941E0,-2.480859375E1
3.582291954E1,-4.058110046E1,2.140319824E0,-2.479779053E1
3.583292654E1,-4.051028442E1,2.106338501E0,-2.453643799E1
3.584293454E1,-4.032823181E1,2.123657227E0,-2.514739990E1
3.585294254E1,-4.042520142E1,1.959045410E0,-2.491027832E1
3.586295054E1,-4.030267334E1,2.052154541E0,-2.551330566E1
3.587295754E1,-4.017381287E1,1.950134277E0,-2.541271973E1
3.588296554E1,-4.020152283E1,1.804199219E0,-2.524755859E1
3.589297354E1,-4.012133789E1,1.787521362E0,-2.570275879E1
3.590298154E1,-3.892092896E1,1.259460449E0,-2.503680420E1
3.591298854E1,-3.882623291E1,1.168869019E0,-2.556140137E1
3.592299654E1,-3.892327881E1,1.278930664E0,-2.576519775E1
3.593300454E1,-3.880473328E1,1.224868774E0,-2.525665283E1
3.594301154E1,-3.889996338E1,1.277450562E0,-2.558441162E1
3.595301954E1,-3.878280640E1,1.289962769E0,-2.544036865E1
3.596302754E1,-3.882745361E1,1.236206055E0,-2.508636475E1
3.597303554E1,-3.887583923E1,1.348251343E0,-2.556298828E1
3.598304254E1,-3.893901062E1,1.215927124E0,-2.528570557E1
3.599305054E1,-3.890653992E1,1.205642700E0,-2.576104736E1
3.600305854E1,-3.910623169E1,1.174072266E0,-2.529693604E1
3.601306654E1,-3.925199890E1,1.150512695E0,-2.520068359E1
3.602307354E1,-3.943502808E1,1.161132812E0,-2.529589844E1
3.603308154E1,-3.962577820E1,9.099121094E-1,-2.467443848E1
3.604308954E1,-3.966580200E1,9.039916992E-1,-2.500671387E1
3.605309754E1,-3.990310669E1,8.705749512E-1,-2.498809814E1
3.606310454E1,-3.994004822E1,6.679382324E-1,-2.438830566E1
3.607311254E1,-4.026641846E1,6.212158203E-1,-2.446990967E1
3.608312054E1,-4.058798218E1,4.884185791E-1,-2.370874023E1
3.609312854E1,-4.060856628E1,5.104827881E-1,-2.425390625E1
3.610313554E1,-4.080145264E1,3.632354736E-1,-2.459533691E1
3.611314354E1,-4.081095886E1,2.088470459E-1,-2.427136230E1
3.612315154E1,-4.105860901E1,3.106842041E-1,-2.467840576E1
3.613315954E1,-4.103396606E1,2.265167236E-1,-2.442010498E1
3.614316654E1,-4.125360107E1,2.362060547E-1,-2.435620117E1
3.615317454E1,-4.119143677E1,2.324829102E-1,-2.461968994E1
3.616318254E1,-4.137425232E1,3.607177734E-1,-2.396008301E1
3.617319054E1,-4.121107483E1,4.301605225E-1,-2.441058350E1
3.618319754E1,-4.132339478E1,4.508972168E-1,-2.455596924E1
3.619320554E1,-3.967144775E1,-2.426452637E-1,-2.421221924E1
3.620321354E1,-3.973576355E1,-1.451263428E-1,-2.450555420E1
3.621322154E1,-3.973576355E1,-1.451263428E-1,-2.450555420E1
3.622322854E1,-3.972340393E1,-1.166381836E-1,-2.406011963E1
3.623323654E1,-3.970497131E1,-8.354187012E-2,-2.421807861E1
3.624324454E1,-3.953022766E1,-5.279541016E-3,-2.483184814E1
3.625325154E1,-3.947659302E1,-1.341247559E-2,-2.435711670E1
3.626325954E1,-3.929071045E1,8.045959473E-2,-2.491394043E1
3.627326754E1,-3.927093506E1,-1.119995117E-1,-2.537573242E1
3.628327554E1,-3.909222412E1,-2.278594971E-1,-2.520642090E1
3.629328254E1,-3.857478333E1,-3.191223145E-1,-2.565093994E1
3.630329054E1,-3.843043518E1,-3.957672119E-1,-2.532348633E1
3.631329854E1,-3.824197388E1,-5.914764404E-1,-2.582354736E1
3.632330654E1,-3.833195496E1,-6.294708252E-1,-2.595690918E1
3.633331354E1,-3.844036865E1,-7.672119141E-1,-2.527001953E1
3.634332154E1,-3.855435181E1,-7.711486816E-1,-2.570446777E1
3.635332954E1,-3.889442444E1,-1.032989502E0,-2.553570557E1
3.636333754E1,-3.930107117E1,-1.150039673E0,-2.514508057E1
3.637334454E1,-3.960691833E1,-1.129852295E0,-2.516986084E1
3.638335254E1,-4.000250244E1,-1.272888184E0,-2.460614014E1
3.639336054E1,-3.883395386E1,-4.241638184E-1,-2.527624512E1
3.640336854E1,-3.883695984E1,-5.595092773E-1,-2.478155518E1
3.641337554E1,-3.893876648E1,-6.018829346E-1,-2.443182373E1
3.642338354E1,-3.905805969E1,-6.076660156E-1,-2.525360107E1
3.643339154E1,-3.908145142E1,-6.575012207E-1,-2.494995117E1
3.644339954E1,-3.902429199E1,-7.215728760E-1,-2.563885498E1
3.645340654E1,-3.889120483E1,-7.775421143E-1,-2.568231201E1
3.646341454E1,-3.881455994E1,-9.647674561E-1,-2.533721924E1
3.647342254E1,-3.898806763E1,-9.999542236E-1,-2.588409424E1
3.648343054E1,-3.897724915E1,-9.335937500E-1,-2.532336426E1
3.649343754E1,-3.902551270E1,-1.078491211E0,-2.545507812E1
3.650344554E1,-3.896784973E1,-9.647064209E-1,-2.573913574E1
3.651345354E1,-3.912442017E1,-1.113174438E0,-2.539788818E1
3.652346054E1,-3.921748352E1,-1.035095215E0,-2.566833496E1
3.653346854E1,-3.918746948E1,-1.038604736E0,-2.554626465E1
3.654347654E1,-3.936634827E1,-1.042831421E0,-2.526971436E1
3.655348483E1,-3.922659302E1,-9.219207764E-1,-2.586047363E1
3.656349183E1,-3.877404785E1,-9.036102295E-1,-2.552868652E1
3.657349983E1,-3.859696960E1,-8.939361572E-1,-2.608709717E1
3.658350783E1,-3.866921997E1,-6.884918213E-1,-2.611535645E1
3.659351583E1,-3.864054871E1,-7.427368164E-1,-2.597778320E1
3.660352283E1,-3.859902954E1,-8.073577881E-1,-2.646282959E1
3.661353083E1,-3.844371033E1,-7.843017578E-1,-2.599407959E1
3.662353883E1,-3.844371033E1,-7.843017578E-1,-2.599407959E1
3.663354683E1,-3.848844910E1,-7.715911865E-1,-2.602893066E1
3.664355383E1,-3.850299072E1,-6.715393066E-1,-2.652508545E1
3.665356183E1,-3.827728271E1,-8.338165283E-1,-2.605169678E1
3.666356983E1,-3.843652344E1,-6.504669189E-1,-2.656494141E1
3.667357783E1,-3.819920349E1,-7.618560791E-1,-2.656414795E1
3.668358483E1,-3.821667480E1,-7.337493896E-1,-2.644702148E1
3.669359283E1,-3.831416321E1,-7.686309814E-1,-2.676940918E1
3.670360083E1,-3.832774353E1,-7.100830078E-1,-2.603033447E1
3.671360883E1,-3.816294861E1,-7.371673584E-1,-2.655212402E1
3.672361583E1,-3.814836121E1,-6.961669922E-1,-2.680780029E1
3.673362383E1,-3.798384094E1,-6.546173096E-1,-2.637158203E1
3.674363183E1,-3.811312866E1,-5.614776611E-1,-2.669421387E1
3.675363883E1,-3.801074219E1,-6.563415527E-1,-2.647308350E1
3.676364683E1,-3.813114929E1,-5.554504395E-1,-2.632446289E1
3.677365483E1,-3.801718140E1,-5.980072021E-1,-2.685919189E1
3.678366283E1,-3.641235352E1,-7.057342529E-1,-2.609106445E1
3.679366983E1,-3.658078003E1,-6.026000977E-1,-2.683288574E1
3.680367783E1,-3.645756531E1,-7.209014893E-1,-2.684295654E1
3.681368583E1,-3.648114014E1,-7.215728760E-1,-2.668652344E1
3.682369383E1,-3.637074280E1,-5.299835205E-1,-2.714471436E1
3.683370083E1,-3.628494263E1,-4.349060059E-1,-2.684252930E1
3.684370883E1,-3.614500427E1,-3.521728516E-1,-2.744128418E1
3.685371683E1,-3.594100952E1,-1.852722168E-1,-2.722119141E1
3.686372483E1,-3.562828064E1,-1.838378906E-1,-2.697564697E1
3.687373183E1,-3.553639221E1,-1.401214600E-1,-2.783917236E1
3.688373983E1,-3.539488220E1,-1.860961914E-1,-2.776458740E1
3.689374783E1,-3.554452515E1,-5.926208496E-1,-2.805615234E1
3.690375583E1,-3.551522827E1,-4.425659180E-1,-2.884277344E1
3.691376283E1,-3.535047913E1,-5.086364746E-1,-2.852050781E1
3.692377083E1,-3.531683350E1,-5.137176514E-1,-2.898358154E1
3.693377883E1,-3.518942261E1,-7.097625732E-1,-2.888024902E1
3.694378683E1,-3.529977417E1,-7.451324463E-1,-2.846472168E1
3.695379383E1,-3.493957520E1,-8.970947266E-1,-2.900646973E1
3.696380183E1,-3.496200562E1,-9.746246338E-1,-2.850244141E1
3.697380983E1,-3.527464294E1,-9.820556641E-1,-2.869781494E1
3.698381683E1,-3.554743958E1,-8.857879639E-1,-2.882324219E1
3.699382483E1,-3.562496948E1,-8.433532715E-1,-2.825445557E1
3.700383283E1,-3.575036621E1,-6.870574951E-1,-2.861340332E1
3.701384083E1,-3.601225281E1,-5.738983154E-1,-2.832128906E1
3.702384783E1,-3.611735535E1,-3.681640625E-1,-2.787890625E1
3.703385583E1,-3.587245178E1,-1.174865723E0,-2.817663574E1
3.704386383E1,-3.598437500E1,-1.149841309E0,-2.866754150E1
3.705387183E1,-3.599592590E1,-1.103988647E0,-2.841497803E1
3.706387883E1,-3.593785095E1,-8.843078613E-1,-2.863238525E1
3.707388683E1,-3.593963623E1,-9.198455811E-1,-2.852954102E1
3.708389483E1,-3.611466980E1,-8.332824707E-1,-2.830877686E1
3.709390283E1,-3.617250061E1,-7.429351807E-1,-2.885504150E1
3.710390983E1,-3.601679993E1,-9.112243652E-1,-2.853662109E1
3.711391783E1,-3.603112793E1,-8.584136963E-1,-2.927905273E1
3.712392583E1,-3.608703613E1,-7.256622314E-1,-2.930627441E1
3.713393383E1,-3.610437012E1,-8.738098145E-1,-2.923101807E1
3.714394083E1,-3.597299194E1,-8.229980469E-1,-2.963598633E1
3.715394883E1,-3.610626221E1,-7.597351074E-1,-2.921319580E1
3.716395683E1,-3.593615723E1,-7.805786133E-1,-2.917529297E1
3.717396483E1,-3.594937134E1,-8.075561523E-1,-2.943652344E1
3.718397183E1,-3.595301819E1,-8.319702148E-1,-2.885833740E1
3.719397983E1,-3.606507874E1,-8.009185791E-1,-2.949176025E1
3.720398783E1,-3.590757751E1,-7.919769287E-1,-2.958679199E1
3.721399483E1,-3.605731201E1,-6.142578125E-1,-2.913916016E1
3.722400283E1,-3.610424805E1,-5.103912354E-1,-2.953643799E1
3.723401083E1,-3.617253113E1,-4.605560303E-1,-2.912963867E1
3.724401883E1,-3.635267639E1,-3.773498535E-1,-2.941442871E1
3.725402583E1,-3.659121704E1,-9.402465820E-2,-2.935974121E1
3.726403383E1,-3.662748718E1,-1.612701416E-1,-2.906939697E1
3.727404183E1,-3.675106812E1,3.929138184E-2,-2.955364990E1
3.728404983E1,-3.688647461E1,6.010437012E-2,-2.906781006E1
3.729405683E1,-3.700654602E1,1.098022461E-1,-2.874969482E1
3.730406483E1,-3.718392944E1,9.944152832E-2,-2.914398193E1
3.731407283E1,-3.716242981E1,4.965209961E-2,-2.892999268E1
3.732408083E1,-3.749247742E1,1.762542725E-1,-2.903808594E1
3.733408783E1,-3.732231140E1,1.297912598E-1,-2.875311279E1
3.734409583E1,-3.750604248E1,1.874542236E-1,-2.818463135E1
3.735410383E1,-3.756079102E1,2.346496582E-1,-2.876049805E1
3.736411183E1,-3.766471863E1,-1.770019531E-2,-2.847967529E1
3.737411883E1,-3.784729004E1,-3.118896484E-2,-2.896655273E1
3.738412683E1,-3.726184082E1,-6.038208008E-1,-2.963745117E1
3.739413483E1,-3.734172058E1,-6.943817139E-1,-2.909735107E1
3.740414183E1,-3.750698853E1,-7.795104980E-1,-2.918103027E1
3.741414983E1,-3.780796814E1,-8.609619141E-1,-2.887628174E1
3.742415783E1,-3.779264832E1,-9.138946533E-1,-2.849090576E1
3.743416583E1,-3.779264832E1,-9.138946533E-1,-2.849090576E1
3.744417283E1,-3.788574219E1,-8.326568604E-1,-2.889483643E1
3.745418083E1,-3.816889954E1,-7.143096924E-1,-2.819793701E1
3.746418883E1,-3.838677979E1,-6.288604736E-1,-2.872509766E1
3.747419683E1,-3.846768188E1,-5.546264648E-1,-2.851928711E1
3.748420383E1,-3.868371582E1,5.535888672E-2,-2.837036133E1
3.749421183E1,-3.859179688E1,2.450408936E-1,-2.849267578E1
3.750421983E1,-3.878834534E1,2.109680176E-1,-2.808898926E1
3.751422783E1,-3.865068054E1,5.784606934E-2,-2.877215576E1
3.752423483E1,-3.865251160E1,-9.300231934E-2,-2.907183838E1
3.753424283E1,-3.852366638E1,-1.897888184E-1,-2.896411133E1
3.754425083E1,-3.852000427E1,-2.698974609E-1,-2.936126709E1
3.755426017E1,-3.841865540E1,-4.966125488E-1,-2.946752930E1
3.756426717E1,-3.830598450E1,-5.965423584E-1,-2.919073486E1
3.757427517E1,-3.827357483E1,-7.127685547E-1,-2.990576172E1
3.758428317E1,-3.824118042E1,-8.187255859E-1,-2.924682617E1
3.759429017E1,-3.839472961E1,-9.029541016E-1,-2.975555420E1
3.760429817E1,-3.853269958E1,-9.928588867E-1,-2.918981934E1
3.761430617E1,-3.870213318E1,-1.208236694E0,-2.859930420E1
3.762431417E1,-3.881962585E1,-6.466217041E-1,-2.895214844E1
3.763432117E1,-3.896553040E1,-8.950805664E-1,-2.830493164E1
