"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.521217208E0,-1.800762564E-1,2.966382504E-1,-6.130568385E-1
1.531223208E0,-1.972701550E-1,2.956595123E-1,-5.954765081E-1
1.541229208E0,-2.190557271E-1,2.756958902E-1,-5.802082419E-1
1.551236208E0,-2.489451915E-1,2.406236827E-1,-5.728869438E-1
1.561242208E0,-2.831921875E-1,1.850245297E-1,-5.832703114E-1
1.571248208E0,-3.176660240E-1,1.014106050E-1,-5.992641449E-1
1.581255208E0,-3.629009724E-1,1.485411264E-2,-6.096895933E-1
1.591261208E0,-4.076942801E-1,-6.437839568E-2,-6.189869046E-1
1.601268208E0,-4.413758218E-1,-1.032224447E-1,-6.157456636E-1
1.611274208E0,-4.434810579E-1,-9.635761380E-2,-5.883526206E-1
1.621280208E0,-4.048472345E-1,-4.436278716E-2,-5.208044052E-1
1.631287208E0,-3.329533339E-1,3.273226693E-2,-4.148880839E-1
1.641293208E0,-2.452994138E-1,8.759760857E-2,-2.927119732E-1
1.651299208E0,-1.334961951E-1,1.142518520E-1,-1.776088327E-1
1.661306208E0,5.109426100E-3,8.608777821E-2,-9.523604065E-2
1.671312208E0,1.644324958E-1,1.587620005E-2,-2.117140032E-2
1.681318208E0,3.210272193E-1,-4.160588980E-2,5.179154128E-2
1.691325208E0,4.513910711E-1,-8.845515549E-2,1.216510460E-1
1.701331208E0,5.387800336E-1,-1.059767455E-1,1.947880834E-1
1.711337208E0,5.874506235E-1,-1.061101705E-1,2.729902267E-1
1.721344208E0,5.990277529E-1,-9.843300283E-2,3.465074003E-1
1.731350208E0,5.822839141E-1,-1.000756323E-1,4.176361561E-1
1.741357208E0,5.492581129E-1,-1.030437201E-1,4.692724645E-1
1.751363208E0,5.079136491E-1,-8.793985844E-2,4.897577763E-1
1.761369208E0,4.586490393E-1,-5.141040683E-2,4.957414865E-1
1.771376208E0,4.015040100E-1,-9.843257256E-3,4.978118241E-1
1.781382208E0,3.396056592E-1,4.781654477E-2,5.004691482E-1
1.791388208E0,2.756674290E-1,9.340719879E-2,5.149575472E-1
1.801395208E0,2.059958577E-1,1.150758490E-1,5.348865986E-1
1.811401208E0,1.349619031E-1,1.162282005E-1,5.422915220E-1
1.821408208E0,7.586881518E-2,1.083251610E-1,5.480164289E-1
1.831414208E0,2.088119462E-2,1.052425504E-1,5.387097597E-1
1.841420208E0,-3.289233521E-2,9.877705574E-2,5.193784237E-1
1.851427208E0,-7.781533897E-2,1.066437662E-1,5.049222708E-1
1.861433208E0,-1.175681800E-1,1.385507882E-1,4.915263653E-1
1.871439208E0,-1.549493819E-1,2.033436298E-1,4.898752272E-1
1.881446208E0,-1.780020297E-1,2.758617997E-1,4.973580837E-1
1.891452208E0,-1.823619008E-1,3.442839980E-1,5.069348812E-1
1.901458208E0,-1.640561670E-1,3.895070553E-1,5.188734531E-1
1.911465208E0,-1.208333224E-1,3.986001611E-1,5.253978968E-1
1.921471208E0,-5.578088388E-2,3.688359261E-1,5.364578962E-1
1.931477208E0,1.136379782E-2,3.086769581E-1,5.512291193E-1
1.941484208E0,6.784018129E-2,2.542355061E-1,5.650926232E-1
1.951490208E0,9.482732415E-2,2.250896096E-1,5.735694766E-1
1.961497208E0,1.008249745E-1,2.232747525E-1,5.768079758E-1
1.971503208E0,9.695886821E-2,2.371567488E-1,5.768500566E-1
1.981509208E0,7.638882846E-2,2.397939265E-1,5.649108291E-1
1.991516208E0,4.106678441E-2,2.234738022E-1,5.445885658E-1
2.001522208E0,3.484691493E-3,1.961928904E-1,5.209814906E-1
2.011528208E0,-2.919628844E-2,1.724332273E-1,4.932441413E-1
2.021535208E0,-5.606381595E-2,1.480302513E-1,4.699591398E-1
2.031541208E0,-6.262344867E-2,1.304797679E-1,4.530576766E-1
2.041547208E0,-4.700890929E-2,1.173141003E-1,4.361549616E-1
2.051554208E0,-1.749442890E-2,9.187958390E-2,4.167287946E-1
2.061560208E0,1.966812275E-2,5.729605630E-2,4.019168019E-1
2.071567208E0,5.426471680E-2,2.890516073E-2,3.802884817E-1
2.081573208E0,8.821932226E-2,3.522867803E-3,3.514263928E-1
2.091579208E0,1.121004224E-1,-1.921706647E-2,3.046067059E-1
2.101586208E0,1.040663570E-1,-3.661048040E-2,2.395569533E-1
2.111592208E0,6.574959308E-2,-3.108575381E-2,1.645330340E-1
2.121598208E0,3.007489722E-3,-1.854941249E-2,8.045828342E-2
2.131605208E0,-1.028845906E-1,-2.907182835E-2,-1.619635522E-2
2.141611208E0,-2.372465432E-1,-6.835255772E-2,-1.320834756E-1
2.151617083E0,-3.791573346E-1,-1.462276429E-1,-2.601823211E-1
2.161624083E0,-5.173364878E-1,-2.538036704E-1,-3.957467675E-1
2.171630083E0,-6.634135842E-1,-3.605391681E-1,-5.591381192E-1
2.181637083E0,-7.867847085E-1,-4.150013328E-1,-7.127121687E-1
2.191643083E0,-8.675585985E-1,-3.700676858E-1,-8.447181582E-1
2.201649083E0,-8.761049509E-1,-1.990016103E-1,-9.246389866E-1
2.211656083E0,-7.654545903E-1,9.025203437E-2,-9.349701405E-1
2.221662083E0,-5.477833152E-1,3.962762058E-1,-9.120012522E-1
2.231668083E0,-2.712934315E-1,5.596291423E-1,-9.045612216E-1
2.241675083E0,8.521989221E-4,5.541719198E-1,-9.180793762E-1
2.251681083E0,2.329048663E-1,4.125791192E-1,-9.457144737E-1
2.261687083E0,3.900576234E-1,1.900865436E-1,-9.885040522E-1
2.271694083E0,4.762758613E-1,-4.983231053E-2,-1.046247005E0
2.281700083E0,4.874941409E-1,-2.475537211E-1,-1.114704370E0
2.291707083E0,4.328340888E-1,-3.287985325E-1,-1.210326552E0
2.301713083E0,3.537022471E-1,-3.409803808E-1,-1.330035567E0
2.311719083E0,2.854363620E-1,-3.329442739E-1,-1.474898219E0
2.321726083E0,2.428919226E-1,-3.141996562E-1,-1.637257576E0
2.331732083E0,2.236034423E-1,-2.810973525E-1,-1.807518959E0
2.341738083E0,2.148285955E-1,-2.396892011E-1,-1.957972407E0
2.351745083E0,2.113126963E-1,-2.111718059E-1,-2.084582090E0
2.361751083E0,2.081905752E-1,-2.071176320E-1,-2.193444967E0
2.371757083E0,2.150546014E-1,-2.339638919E-1,-2.289776564E0
2.381764083E0,2.330769002E-1,-2.778342962E-1,-2.378547430E0
2.391770083E0,2.515435219E-1,-3.269531131E-1,-2.466000557E0
2.401777083E0,2.633715570E-1,-3.691510558E-1,-2.544366360E0
2.411783083E0,2.728662491E-1,-4.010440111E-1,-2.608912230E0
2.421789083E0,2.764427662E-1,-4.043450058E-1,-2.676171064E0
2.431796083E0,2.775682211E-1,-3.870509863E-1,-2.737335443E0
2.441802083E0,2.703168690E-1,-3.539862633E-1,-2.796168327E0
2.451808083E0,2.609249651E-1,-3.081231713E-1,-2.845823765E0
2.461815083E0,2.295223773E-1,-2.568739057E-1,-2.896362782E0
2.471821083E0,1.929910034E-1,-2.007895708E-1,-2.944551945E0
2.481827083E0,1.562378556E-1,-1.550490260E-1,-2.980365276E0
2.491834083E0,1.139255390E-1,-1.322313249E-1,-3.017779112E0
2.501840083E0,6.504816562E-2,-1.423378736E-1,-3.056803226E0
2.511846083E0,1.094551198E-2,-1.877900511E-1,-3.093954086E0
2.521853083E0,-5.216936395E-2,-2.445811182E-1,-3.127906561E0
2.531859083E0,-1.132992953E-1,-2.938083410E-1,-3.147733450E0
2.541866083E0,-1.673451364E-1,-3.309420943E-1,-3.163170576E0
2.551872083E0,-2.151041329E-1,-3.537821770E-1,-3.176948309E0
2.561878083E0,-2.457879484E-1,-3.455102146E-1,-3.184516907E0
2.571885083E0,-2.810178399E-1,-3.225316703E-1,-3.190997124E0
2.581891083E0,-3.254719675E-1,-2.951959372E-1,-3.206160545E0
2.591897083E0,-3.807850182E-1,-2.613343894E-1,-3.214614153E0
2.601904083E0,-4.503162503E-1,-2.267429531E-1,-3.214919567E0
2.611910083E0,-5.149086118E-1,-1.938949972E-1,-3.202701092E0
2.621916083E0,-5.546604991E-1,-1.541567296E-1,-3.176951647E0
2.631923083E0,-5.640515685E-1,-1.078161299E-1,-3.144986153E0
2.641929083E0,-5.233393312E-1,-4.905289412E-2,-3.092015982E0
2.651936083E0,-4.532158375E-1,1.668617129E-2,-3.024056673E0
2.661942083E0,-3.793430626E-1,7.463806868E-2,-2.949232578E0
2.671948083E0,-3.213250339E-1,1.038359031E-1,-2.870709896E0
2.681955083E0,-2.894201875E-1,1.030101478E-1,-2.790593863E0
