"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.803248368E2,-2.749633789E-2,-2.959457016E1,-4.107312012E1
1.803348448E2,-9.402465820E-2,-2.960392380E1,-4.139324951E1
1.803448538E2,-1.108951569E-1,-2.960103989E1,-4.136895752E1
1.803548618E2,-1.386489868E-1,-2.960937881E1,-4.146429443E1
1.803648708E2,-1.641445160E-1,-2.961057663E1,-4.102050781E1
1.803748788E2,-3.377723694E-1,-2.955034256E1,-4.127642822E1
1.803848878E2,-3.251857758E-1,-2.956690598E1,-4.104284668E1
1.803948958E2,-3.956451416E-1,-2.960546494E1,-4.074530029E1
1.804049038E2,-3.633785248E-1,-2.966341019E1,-4.144036865E1
1.804149128E2,-5.997505188E-1,-2.965341568E1,-4.089318848E1
1.804249208E2,-7.239208221E-1,-2.946682739E1,-4.134832764E1
1.804349298E2,-7.290630341E-1,-2.947390747E1,-4.097235107E1
1.804449378E2,-8.958816528E-1,-2.938931274E1,-4.092492676E1
1.804549458E2,-1.206478119E0,-2.912133789E1,-4.148791504E1
1.804649548E2,-1.441850662E0,-2.903607941E1,-4.085516357E1
1.804749628E2,-1.549545288E0,-2.893521881E1,-4.138189697E1
1.804849718E2,-1.641849518E0,-2.888634491E1,-4.150164795E1
1.804949798E2,-1.833469391E0,-2.896649933E1,-4.137548828E1
1.805049888E2,-2.037044525E0,-2.909339142E1,-4.168847656E1
1.805149968E2,-2.175424576E0,-2.933232880E1,-4.150506592E1
1.805250048E2,-2.355787277E0,-2.950302887E1,-4.125726318E1
1.805350138E2,-2.424337387E0,-2.988608932E1,-4.178784180E1
1.805450218E2,-2.678419113E0,-2.999799728E1,-4.119049072E1
1.805550308E2,-2.911394119E0,-3.019275284E1,-4.146563721E1
1.805650388E2,-3.267259598E0,-3.033486557E1,-4.093859863E1
1.805750468E2,-3.430208206E0,-3.059398651E1,-4.099487305E1
1.805850558E2,-3.654357910E0,-3.044297791E1,-4.124499512E1
1.805950638E2,-3.933425903E0,-3.051563263E1,-4.075872803E1
