"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.397721542E0,-2.290717810E-1,-8.399777114E-3,4.741684347E-2
1.407729542E0,-1.945195943E-1,6.604180485E-2,1.059583873E-1
1.417737542E0,-1.706984192E-1,1.328554600E-1,1.649700403E-1
1.427744542E0,-1.518909782E-1,1.739440560E-1,2.131135166E-1
1.437752542E0,-1.244875863E-1,1.899754852E-1,2.502539754E-1
1.447759542E0,-7.798033953E-2,1.730690300E-1,2.688411176E-1
1.457767542E0,-8.898736909E-3,1.543749720E-1,2.684344351E-1
1.467775542E0,6.628789008E-2,1.453870386E-1,2.628338933E-1
1.477782542E0,1.279184967E-1,1.340060234E-1,2.565115392E-1
1.487790542E0,1.536620110E-1,1.276462078E-1,2.483467609E-1
1.497798542E0,1.444711834E-1,1.295112222E-1,2.364861071E-1
1.507805542E0,1.118411273E-1,1.523667425E-1,2.245399356E-1
1.517813542E0,5.565961450E-2,2.029186040E-1,2.161954641E-1
1.527820542E0,-3.239474073E-2,2.477260679E-1,2.091961205E-1
1.537828542E0,-1.327754110E-1,2.584956288E-1,1.903915405E-1
1.547836542E0,-2.235860080E-1,2.495417446E-1,1.635301560E-1
1.557843542E0,-2.610675991E-1,2.528110445E-1,1.417958289E-1
1.567851542E0,-2.303592116E-1,2.957661748E-1,1.359126121E-1
1.577859542E0,-1.527818590E-1,3.491851985E-1,1.478089541E-1
1.587866542E0,-5.838239938E-2,3.743400574E-1,1.604497433E-1
1.597874542E0,2.909205481E-2,3.370981514E-1,1.656149477E-1
1.607881542E0,9.201129526E-2,2.266688347E-1,1.549021304E-1
1.617889542E0,1.316924095E-1,9.371078014E-2,1.359329671E-1
1.627897542E0,1.460919827E-1,-2.776001394E-2,1.169260219E-1
1.637904542E0,1.365828961E-1,-9.057572484E-2,8.674042672E-2
1.647912542E0,1.054734439E-1,-8.031570166E-2,5.898448825E-2
1.657919542E0,7.146301121E-2,-8.720349520E-3,3.607491404E-2
1.667927542E0,4.171044752E-2,1.242507920E-1,3.377146646E-2
1.677935542E0,1.051470824E-2,2.445993125E-1,2.958577499E-2
1.687942542E0,-1.407079305E-2,3.176297843E-1,2.700834908E-2
1.697950542E0,-2.114787698E-2,3.458606303E-1,3.484683484E-2
1.707958542E0,-2.115979791E-2,3.163410127E-1,4.538377002E-2
1.717965542E0,-1.671817712E-2,2.452191859E-1,4.538563266E-2
1.727973542E0,9.799716063E-3,1.678787768E-1,3.378523141E-2
1.737980542E0,3.995921463E-2,9.548953176E-2,2.545246854E-2
1.747988542E0,6.785969436E-2,5.032405257E-2,2.403504588E-2
1.757996542E0,8.463361114E-2,3.997340798E-2,3.007296473E-2
1.768003542E0,9.277255833E-2,5.852967873E-2,4.622852430E-2
1.778011542E0,9.959211946E-2,8.388883621E-2,6.621688604E-2
1.788019542E0,1.175492182E-1,1.050229073E-1,9.002051502E-2
1.798026542E0,1.459558159E-1,1.057952195E-1,1.242458671E-1
1.808034542E0,1.915160418E-1,9.445839375E-2,1.476451159E-1
1.818041542E0,2.470424175E-1,7.142604887E-2,1.632312685E-1
1.828049542E0,2.947568893E-1,3.731920570E-2,1.624633223E-1
1.838057542E0,3.315969408E-1,9.892641567E-3,1.490990520E-1
1.848064542E0,3.477536440E-1,-1.840594038E-2,1.307955235E-1
1.858072542E0,3.449109793E-1,-3.271430731E-2,1.035079733E-1
1.868080542E0,3.320009112E-1,-3.091143444E-2,8.008893579E-2
1.878087542E0,3.172824383E-1,-1.010948233E-2,7.392425090E-2
1.888095542E0,2.879401445E-1,3.988553770E-3,7.430586219E-2
1.898102542E0,2.392412871E-1,-1.121889520E-2,6.943520904E-2
1.908110542E0,1.734771281E-1,-4.805156589E-2,6.057415158E-2
1.918118542E0,9.783563763E-2,-9.801459312E-2,5.029355362E-2
1.928125542E0,1.633411460E-2,-1.653915048E-1,3.336623684E-2
1.938133542E0,-5.408013240E-2,-2.290972471E-1,9.363962337E-3
1.948141542E0,-1.114245132E-1,-3.166446686E-1,-2.309921198E-2
