"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.143507167E0,4.818653315E-2,-2.193714231E-1,-5.730528384E-2
1.153515167E0,-5.202076212E-2,-1.440391093E-1,-4.377828911E-2
1.163523167E0,-1.156802326E-1,-8.624587953E-2,-1.847136393E-2
1.173532167E0,-1.242854372E-1,-3.512676433E-2,9.626582265E-3
1.183540167E0,-1.021947265E-1,-1.314382534E-2,3.350958228E-2
1.193548167E0,-7.117662579E-2,-1.679768413E-2,4.738625139E-2
1.203556167E0,-5.402394384E-2,-4.656521231E-2,6.453716010E-2
1.213564167E0,-8.026567101E-2,-8.922532946E-2,6.127291545E-2
1.223572167E0,-1.161299497E-1,-1.121830493E-1,7.038559020E-2
1.233581167E0,-1.533361822E-1,-1.461104006E-1,7.345408201E-2
1.243589167E0,-1.687158197E-1,-1.600619704E-1,8.024410903E-2
1.253597167E0,-1.587092578E-1,-1.393372566E-1,1.020005345E-1
1.263605167E0,-1.463040709E-1,-1.063103080E-1,1.265592426E-1
1.273613167E0,-1.395124793E-1,-7.712952048E-2,1.399243176E-1
1.283622167E0,-1.475741863E-1,-3.185505420E-2,1.471362710E-1
1.293630167E0,-1.682853252E-1,9.857506491E-3,1.472419947E-1
1.303638167E0,-1.946781725E-1,2.606055327E-2,1.322062612E-1
1.313646167E0,-2.098736316E-1,3.275174648E-2,1.340132058E-1
1.323654167E0,-2.217965126E-1,5.052732304E-4,1.468297243E-1
1.333662167E0,-2.113223076E-1,-6.006113440E-2,1.635876745E-1
1.343671167E0,-1.743018031E-1,-1.107295752E-1,1.946779937E-1
1.353679167E0,-1.101779416E-1,-1.458598673E-1,2.289329022E-1
1.363687167E0,-2.954952791E-2,-1.694986075E-1,2.577295303E-1
1.373695167E0,5.410408974E-2,-1.796154231E-1,2.789253592E-1
1.383703167E0,1.336591095E-1,-1.862363070E-1,2.850753963E-1
1.393711167E0,2.089228034E-1,-2.126507759E-1,2.649931908E-1
1.403720167E0,2.737786174E-1,-2.535592318E-1,2.222648263E-1
1.413728167E0,3.271518350E-1,-2.605159581E-1,1.822292656E-1
1.423736500E0,3.529092073E-1,-2.290049046E-1,1.637526751E-1
1.433744500E0,3.472529352E-1,-1.738052964E-1,1.672320962E-1
1.443752500E0,3.179443777E-1,-7.953862101E-2,1.840831786E-1
1.453760500E0,2.737588286E-1,1.893175952E-2,2.142242938E-1
1.463769500E0,2.365577668E-1,1.329066753E-1,2.510955334E-1
1.473777500E0,2.225881517E-1,2.547766566E-1,2.804691494E-1
1.483785500E0,2.211910188E-1,3.402100503E-1,2.886325419E-1
1.493793500E0,1.947160065E-1,3.614482284E-1,2.714484930E-1
1.503801500E0,1.155973747E-1,2.859733403E-1,2.219646275E-1
1.513810500E0,8.205139078E-3,1.335111111E-1,1.388756037E-1
1.523818500E0,-8.155605942E-2,4.806748591E-3,4.002776742E-2
1.533826500E0,-1.185321882E-1,-1.955238543E-2,-6.998865865E-3
1.543834500E0,-9.003223479E-2,7.892316580E-2,1.951363496E-2
1.553842500E0,6.296970882E-3,2.895922661E-1,1.060615778E-1
1.563850500E0,1.150072291E-1,5.145781636E-1,2.190130204E-1
